fold,n_prompts,oracle,Y_A,Y_B,Y_PSP,oracle_minus_psp,oracle_minus_A,oracle_minus_B
0,40,0.9498285012665203,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.017505792025523263,0.08770031433757394,0.06134715468001086
1,40,0.8877525199086346,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.020025923335977115,0.06724090270917511,0.09214376418824248
2,40,0.8673898655816679,0.7905271281930851,0.804671392017533,0.8272887818641262,0.040101083717541765,0.0768627373885829,0.0627184735641349
3,40,0.9961390660127393,0.938839644130948,0.9423950272347545,0.9664780003722292,0.029661065640510055,0.0572994218817912,0.053744038777984685
4,40,0.6888898343289969,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.020484572943474638,0.08854043545061721,0.06686544327348239
overall,200,0.8779999574197119,0.8024711950661638,0.8106361825229408,0.8524442698871064,0.025555687532605367,0.07552876235354808,0.06736377489677108
