model,mae,rmse,spearman,sign_accuracy,precision_V_pos,recall_V_pos,mean_adaptive,mean_Y_A,mean_Y_B,mean_Y_PSP,mean_delta_vs_psp,mean_delta_vs_A,mean_delta_vs_B,positive_psp_folds,beats_A_mean,beats_B_mean
ambiguity_g2,0.14816563832228719,0.2932740908528495,-0.04937067958559048,0.20537,0.20138762832536658,0.9866113334321427,0.8103308314346982,0.8024711950661638,0.8106361825229408,0.8524442698871064,-0.042113438452408294,0.007859636368534408,-0.0003053510882426036,0,True,False
ambiguity_min_g2_g4,0.14804084331234132,0.293278892390281,-0.04862984709725937,0.203675,0.20217433819584088,0.9959241144212242,0.8104015588892618,0.8024711950661638,0.8106361825229408,0.8524442698871064,-0.0420427109978447,0.007930363823098011,-0.00023462363367900203,0,True,False
ridge,0.1546665809429042,0.29361912290171077,0.029677710027200526,0.412175,0.2274928764856858,0.7947976878612717,0.8103594536782669,0.8024711950661638,0.8106361825229408,0.8524442698871064,-0.04208481620883976,0.007888258612102943,-0.00027672884467406996,0,True,False
boost,0.1627731036537079,0.2976098860485835,-0.007990778603104065,0.472735,0.21788781686654915,0.619781631342325,0.8057328006065088,0.8024711950661638,0.8106361825229408,0.8524442698871064,-0.046711469280597814,0.0032616055403448968,-0.004903381916432116,0,True,False
