group,positive_pools,caught,precision,recall,captured_positive_mass,positive_mass,captured_fraction,incurred_negative_mass,net_mass
top10pct,4048.0,2542.0,0.02025433452320245,0.6279644268774703,,,,,
top25pct,10120.0,6953.0,0.05540062468128506,0.6870553359683794,,,,,
top50pct,20241.0,14102.0,0.11236295257521672,0.6967047082654019,,,,,
mass,,,,,10515.727003492415,15105.752470709616,0.696140561278403,8874.818255142425,1640.9087483499898
