family,model,fold,policy,Y_A,Y_B,Y_PSP,oracle,delta_vs_psp,delta_vs_B
F0,F0:logistic,0,0.8859550597396328,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.04636764950136422,-0.0025262868468766088
F0,F0:logistic,1,0.80866468342937,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.05906191314328755,0.013055927708977838
F0,F0:logistic,2,0.8009515269428725,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.026337254921253772,-0.003719865074660639
F0,F0:logistic,3,0.9453359638314695,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.021142036540759728,0.0029409365967148944
F0,F0:logistic,4,0.6124714600962238,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05593380128929857,-0.00955293095929083
F0,F0:boost,0,0.8768540779308184,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.055468631310178894,-0.011627268655691286
F0,F0:boost,1,0.8053216009401701,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.0624049956324874,0.009712845219777968
F0,F0:boost,2,0.7985740939500741,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.028714687914052038,-0.006097298067458909
F0,F0:boost,3,0.9450157317430945,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.02146226862913463,0.0026207045083399896
F0,F0:boost,4,0.6035503551946546,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.06485490619086778,-0.018474035860860032
F1,F1:logistic,0,0.8809733863487722,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.051349322892224894,-0.007507960237737285
F1,F1:logistic,1,0.8077234767042304,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06000311986842717,0.012114720983838199
F1,F1:logistic,2,0.799001795555267,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.028286986308859202,-0.00566959646226607
F1,F1:logistic,3,0.9420361722927542,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.024441828079475092,-0.0003588549420004736
F1,F1:logistic,4,0.6127474371782504,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05565782420727189,-0.009276953877264155
F1,F1:boost,0,0.8759898405443062,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.056332868696691005,-0.012491506042203403
F1,F1:boost,1,0.8037573017115356,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06396929486112206,0.008148545991143322
F1,F1:boost,2,0.8013780132779502,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.02591076858617598,-0.0032933787395828446
F1,F1:boost,3,0.9445070429571671,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.021970957415061984,0.002112015722412636
F1,F1:boost,4,0.6108690220712102,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.0575362393143121,-0.011155368984304357
F2,F2:logistic,0,0.8826302734033671,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.04969243583763019,-0.00585107318314259
F2,F2:logistic,1,0.8057689281455562,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06195766842710145,0.010160172425163918
F2,F2:logistic,2,0.7961327543035964,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.031156027560529775,-0.008538637713936644
F2,F2:logistic,3,0.9399749133027392,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.02650308706949,-0.0024201139320153774
F2,F2:logistic,4,0.6095184858438152,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05888677554170716,-0.012505905211699425
F2,F2:boost,0,0.875277426770993,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.05704528247000416,-0.013203919815516562
F2,F2:boost,1,0.801582108627027,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06614448794563069,0.005973352906634693
F2,F2:boost,2,0.7991916756790598,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.028097106185066518,-0.005479716338473385
F2,F2:boost,3,0.9434842776419362,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.022993722730292935,0.0010892504071816859
F2,F2:boost,4,0.6130104181514122,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05539484323411015,-0.009013972904102406
F3,F3:logistic,0,0.8828703444304061,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.049452364810591114,-0.0056110021561035115
F3,F3:logistic,1,0.8138052334924606,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.053921363080196905,0.01819647777206847
F3,F3:logistic,2,0.796660784194863,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.030627997669263267,-0.008010607822670135
F3,F3:logistic,3,0.9510775439766469,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.015400456395582305,0.008682516741892318
F3,F3:logistic,4,0.610424229045026,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05798103234049631,-0.011600162010488567
F3,F3:boost,0,0.8835155099136986,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.04880719932729844,-0.004965836672810839
F3,F3:boost,1,0.8088493065634553,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.05887729000920226,0.01324055084306311
F3,F3:boost,2,0.7978503974566004,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.029438384407525893,-0.006820994560932758
F3,F3:boost,3,0.9523552564214915,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.014122743950737648,0.009960229186736974
F3,F3:boost,4,0.6107062456795189,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05769901570600341,-0.011318145375995667
