group,positive_pools,caught,precision,recall,captured_positive_mass,positive_mass,captured_fraction,incurred_negative_mass,net_mass
top10pct,4048.0,2343.0,0.0219595861138187,0.5788043478260869,,,,,
top25pct,10120.0,6122.0,0.05737797105795906,0.6049407114624505,,,,,
top50pct,20241.0,11964.0,0.11213166379245708,0.5910775159330073,,,,,
mass,,,,,9009.788973531686,15105.752470709616,0.5964475448013505,7310.502581188339,1699.286392343347
