family,model,q_policy,delta_vs_B,delta_vs_psp,capture,positive_psp_folds,auc,spearman_p_V,pct_choose_B
F0,F0:logistic,0.8106757388079138,3.95562849729314e-05,-0.04176853107919277,0.0005872041024067046,0,0.5808679407609153,0.04199754146573306,0.62752
F0,F0:boost,0.8058631719517624,-0.004773010571178453,-0.046581097935344144,-0.07085426222762321,0,0.5318612120498848,-0.011681712582524617,0.5253
F1,F1:logistic,0.8084964536158549,-0.0021397289070859567,-0.043947816271251654,-0.03176379159815277,0,0.5658099680752423,0.0175667541099615,0.567095
F1,F1:boost,0.807300244112434,-0.0033359384105069293,-0.04514402577467263,-0.04952125108218557,0,0.5341093052646452,0.006794646489151601,0.47451
F2,F2:logistic,0.8068050709998147,-0.003831111523126024,-0.045639198887291725,-0.056871983926033334,0,0.5555711292796104,0.002340617404663571,0.56502
F2,F2:boost,0.8065091813740856,-0.004127001148855195,-0.04593508851302089,-0.06126439848686447,0,0.5255117035233158,-0.007066890037739078,0.447095
F3,F3:logistic,0.8109676270278805,0.0003314445049397137,-0.04147664285922598,0.004920218699852016,0,0.5574373304495558,0.028296849837116417,0.53348
F3,F3:boost,0.8106553432069529,1.916068401216352e-05,-0.04178892668015353,0.00028443601982592665,0,0.5415900035237756,0.01726576340417931,0.4896
