family,model,q_policy,delta_vs_B,delta_vs_psp,capture,positive_psp_folds,auc,spearman_p_V,pct_choose_B
F0,F0:logistic,0.8106757388079138,3.95562849729314e-05,-0.04176853107919277,0.0005872041024067046,0,0.5808679407609153,0.04199754146573306,0.62752
F1,F1:logistic,0.8084964536158549,-0.0021397289070859567,-0.043947816271251654,-0.03176379159815277,0,0.5658099680752423,0.0175667541099615,0.567095
F2,F2:logistic,0.8068050709998147,-0.003831111523126024,-0.045639198887291725,-0.056871983926033334,0,0.5555711292796104,0.002340617404663571,0.56502
F3,F3:logistic,0.8109676270278805,0.0003314445049397137,-0.04147664285922598,0.004920218699852016,0,0.5574373304495558,0.028296849837116417,0.53348
