family,model,q_policy,delta_vs_A,delta_vs_B,delta_vs_psp,capture,positive_psp_folds,auc,spearman_p_V,pct_choose_B,delta_A
F0,F0:logistic,0.8106757388079138,0.008204543741749943,3.95562849729314e-05,-0.04176853107919277,0.0005872041024067046,0,0.5808679407609153,0.04199754146573306,0.62752,"[0.49797608983974084, 0.4797149334986178, 0.4848699065822924, 0.48701872905671545, 0.4844409927256257]"
F0,F0:boost,0.8058631719517624,0.0033919768855985594,-0.004773010571178453,-0.046581097935344144,-0.07085426222762321,0,0.5318612120498848,-0.011681712582524617,0.5253,"[0.5063809078830676, 0.5255730028341358, 0.5127873635519132, 0.5136753821767199, 0.49076268506205106]"
F1,F1:logistic,0.8084964536158549,0.006025258549691057,-0.0021397289070859567,-0.043947816271251654,-0.03176379159815277,0,0.5658099680752423,0.0175667541099615,0.567095,"[0.5001682986788354, 0.4789346982879809, 0.4863479141694056, 0.48228264938101073, 0.49182535726143567]"
F1,F1:boost,0.807300244112434,0.004829049046270084,-0.0033359384105069293,-0.04514402577467263,-0.04952125108218557,0,0.5341093052646452,0.006794646489151601,0.47451,"[0.493918887742343, 0.5182335799939431, 0.5214373867718652, 0.5146733082282057, 0.5155662338955438]"
