feature,importance
maxmin,0.4646251926949697
top3_mean,0.3136430665299476
top3_std,0.062451440506298916
std,0.044134126914294844
mad,0.03925058013500753
g1,0.02727529418188126
z1z3,0.013198876884876712
z2,0.009158768131308958
g2,0.008057627112346737
z1,0.005139129289487348
z3,0.004453524192994697
z1z4,0.0036366460194222996
z4,0.003181437631621223
g3,0.0017942897755422356
