fold,psp_ir,fixed1_ir,fixed2_ir,fixed3_ir,adaptive_ir,delta_vs_psp,delta_vs_fixed2,k1_fraction,k2_fraction,k3_fraction
0,0.9446372669070389,0.696598487703083,0.8643056706618635,0.95117353812526,0.8763525582875359,-0.06828470861950302,0.012046887625672412,0.1784,0.6432,0.1784
1,0.8697313148128283,0.6805297325979416,0.8201681289634062,0.883045120371435,0.8214014887648624,-0.04832982604796587,0.0012333598014562313,0.224325,0.55135,0.224325
2,0.8225992736408373,0.5907824724388202,0.7889137902688348,0.8635431654467257,0.7966291129388259,-0.025970160702011413,0.0077153226699911105,0.2589,0.4822,0.2589
3,0.9699118851183918,0.7898978119539094,0.936401214655885,1.0021092846022686,0.9324922270898245,-0.037419658028567254,-0.003908987566060546,0.2884,0.4232,0.2884
4,0.6636644451317028,0.4121365589826833,0.600760573998116,0.687847573210381,0.6040860847131937,-0.05957836041850908,0.003325510715077712,0.17445,0.6511,0.17445
