fold,adaptive_ir,delta_vs_psp,delta_vs_fixed2
0,0.8654879438008878,-0.07914932310615108,0.0011822731390243462
1,0.8206650308087334,-0.04906628400409488,0.0004969018453272156
2,0.7884458295234594,-0.03415344411737783,-0.0004679607453753079
3,0.9359300688660936,-0.03398181625229813,-0.0004711457897914215
4,0.6015438758947642,-0.06212056923693854,0.0007833018966482542
