fold,n_train,n_held,selected_policy,selected_checkpoint,selected_K,selected_M,selected_predicted_train_delta,selected_held_delta,selected_held_paired_mean,selected_held_paired_se,positive,rank_spearman_predicted_vs_actual,predicted_winner,predicted_winner_actual_rank,predicted_winner_in_actual_top3,predicted_winner_in_actual_top5,train_agg_o_check
0,160,40,7→3@16,16,3,7,-0.027503840774890098,-0.02311106944589325,-0.02311106944589331,0.007667195429810516,False,0.8151413015296863,7→3@16,7,False,False,0.9081127323446571
1,160,40,7→3@16,16,3,7,-0.030374477045116532,-0.023476467098691445,-0.023476467098691584,0.006751742660821989,False,0.8131967850661137,6→3@21,2,True,True,0.8407110176519491
2,160,40,7→3@16,16,3,7,-0.025798321980757377,-0.043729251060866,-0.043729251060865934,0.00960382549103354,False,0.7903163080114078,8→3@12,12,False,False,0.7864134081073122
3,160,40,7→3@16,16,3,7,-0.02589752923527322,-0.022737912850853692,-0.02273791285085367,0.009315849819090144,False,0.6535519834067929,6→3@21,7,False,False,0.9415033495434757
4,160,40,7→3@16,16,3,7,-0.02425847698427952,-0.03398106973852055,-0.03398106973852036,0.00805097068820075,False,0.8326419497018409,7→3@16,3,True,True,0.6342899740046377
